Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
1	214.56	19.6	1	604a1_779-001004.xlsx	4809.715	10.003	-14.31	0	2.583	2.849	-39.35	-45.21	4912.584	27.812	41.454	52.778	0.2323	0.1504	10.25	17.82	4961.214	27.812	41.454	52.778	0.6969	0.4512	30.75	53.46
2	213.1296	19.6	1	604a1_779-005008.xlsx	4861.424	10.792	-4.098	51.891	-4.734	39.6	20.65	89.44	4950.263	0.692	4.125	0	-1.893	0	-8.312	-8.531	4998.893	0.692	4.125	0	-5.679	0	-24.94	-25.59
3	211.6992	19.6	1	604a1_779-009012.xlsx	4855.14	0.822	2.562	1.256	-5.215	3.212	-14.22	-8.187	4974.121	12.843	69.658	32.632	-0.8701	0.2663	-64.52	-22.32	5022.75	12.843	69.658	32.632	-2.61	0.799	-193.6	-66.96
4	210.2688	19.6	1	604a1_779-013016.xlsx	4852.843	0.305	-1.164	0.923	-9.482	5.383	11.75	6.496	4956.123	0.192	0.961	0.346	-3.755	1.334	-3.841	-1.507	5004.753	0.192	0.961	0.346	-11.26	4.002	-11.52	-4.521
5	208.8384	19.6	1	604a1_779-017020.xlsx	4875.295	0.294	0.489	0.375	8.143	5.143	4.241	3.876	4955.545	0	0.787	0	-1.631	0	-1.367	-4.403	5004.175	0	0.787	0	-4.892	0	-4.1	-13.21
6	207.408	19.6	1	604a1_779-021024.xlsx	4859.546	0.027	0.311	0.184	-29.11	35.18	-9.649	-6.528	4954.129	2.422	4.745	2.597	-0.6399	0.4152	-3.232	-3.03	5002.759	2.422	4.745	2.597	-1.92	1.245	-9.696	-9.089
7	205.9776	19.6	1	604a1_779-025028.xlsx	4855.439	0.888	0.611	0.328	-9.711	8.357	-6.32	-4.213	4955.453	0.264	-0.691	0.663	3.032	1.983	-2.231	-1.546	5004.083	0.264	-0.691	0.663	9.097	5.948	-6.692	-4.639
8	204.5472	19.6	1	604a1_779-029032.xlsx	4854.325	1.414	5.679	2.385	4	1.937	24.18	11.49	4953.456	0.251	0.875	0.56	-4.17	1.782	-3.883	-1.835	5002.085	0.251	0.875	0.56	-12.51	5.346	-11.65	-5.506
9	203.1168	19.6	1	604a1_779-033036.xlsx	4857.474	1.093	2.221	2.124	-3.596	4.076	-8.503	-7.139	4954.487	2.243	3.468	2.562	-0.6267	0.4018	-2.313	-2.263	5003.117	2.243	3.468	2.562	-1.88	1.205	-6.94	-6.789
10	201.6864	19.6	1	604a1_779-037040.xlsx	4857.16	0.052	-0.277	0.109	-36.84	31.73	10.88	5.752	4954.846	1.344	4.409	2.438	-1.186	0.8717	-5.567	-3.368	5003.476	1.344	4.409	2.438	-3.559	2.615	-16.7	-10.1
11	200.256	19.6	1	604a1_779-041044.xlsx	4868.81	0.718	3.091	1.374	-5.997	2.538	-19.73	-9.132	4951.608	0.196	1.197	0.529	4.621	1.544	5.888	2.02	5000.238	0.196	1.197	0.529	13.86	4.632	17.67	6.061
12	198.8256	19.6	1	604a1_779-045048.xlsx	4861.038	0.142	0.838	0.269	-14.89	5.012	-13.28	-4.453	4947.48	0.096	0.487	0.237	-4.579	2.445	-2.375	-1.003	4996.11	0.096	0.487	0.237	-13.74	7.336	-7.124	-3.01
13	197.3952	19.6	1	604a1_779-049052.xlsx	4854.178	0.55	1.541	1.075	5.71	3.644	9.369	6.23	4954.789	1.301	4.208	1.68	-1.161	0.6317	-5.199	-3.21	5003.418	1.301	4.208	1.68	-3.482	1.895	-15.6	-9.63
14	195.9648	19.6	1	604a1_779-053056.xlsx	4855.94	2.352	2.598	1.871	1.864	2.388	5.154	6.907	4956.575	0.307	1.316	0.427	-2.869	1.073	-4.018	-1.599	5005.205	0.307	1.316	0.427	-8.607	3.218	-12.05	-4.798
