pc,S
1.94E-02,1.58E+01
5.74E-02,2.14E+01
9.59E-02,2.37E+01
1.34E-01,2.42E+01
1.73E-01,2.83E+01
2.11E-01,2.57E+01
2.52E-01,2.42E+01
2.90E-01,2.62E+01
3.32E-01,2.84E+01
3.67E-01,2.84E+01
4.13E-01,2.90E+01
4.47E-01,3.02E+01
4.83E-01,3.27E+01
5.22E-01,3.75E+01
5.88E-01,3.61E+01
6.12E-01,3.54E+01
6.89E-01,3.40E+01
7.31E-01,3.40E+01
7.61E-01,3.47E+01
7.92E-01,3.21E+01
8.39E-01,3.76E+01
8.72E-01,4.23E+01
9.24E-01,4.86E+01
9.42E-01,5.15E+01
9.97E-01,6.28E+01
1.02E+00,4.49E+01
1.05E+00,1.33E+02
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
