,X,Y,Center,Peak,Width,RV,Sig
74,100.575,22.0,6557.598000000001,1045.0,0.948,-211.726431557436,
75,99.234,22.0,6557.569,1549.0,-0.929,-213.05116815022188,
76,97.89299999999999,22.0,6557.528,1264.0,0.973,-214.92407160896664,
223,101.916,18.0,6557.6990000000005,854.8,1.035,-207.1126937688553,
224,100.575,18.0,6557.664000000001,1088.0,1.024,-208.71151379459985,
225,99.234,18.0,6557.585,1672.0,0.9740000000000001,-212.32027899561007,
226,97.89299999999999,18.0,6557.56,1836.0,-0.948,-213.46229329970146,
227,96.552,18.0,6557.531,1195.0,0.997,-214.78702989248734,
372,103.257,15.0,6557.920999999999,1948.0,1.129,-196.97160674842905,8.557178123178595
373,101.916,15.0,6557.821,2938.0,1.078,-201.53966396483617,5.554324565809049
374,100.575,15.0,6557.611999999999,6491.0,0.961,-211.08690354721296,
375,99.234,15.0,6557.596,5793.0,-0.9079999999999999,-211.81779270182483,
376,97.89299999999999,15.0,6557.554,5925.0,-0.88,-213.73637673270161,
377,96.552,15.0,6557.495,2838.0,0.922,-216.43153049040552,
378,95.211,15.0,6557.471,1467.0,0.9990000000000001,-217.52786422236477,
521,104.598,14.0,6557.892,980.4,1.444,-198.29634334117338,19.45136331166287
522,103.257,14.0,6558.0419999999995,1776.0,1.057,-191.444257516542,3.737821928138328
523,101.916,14.0,6558.075,1815.0,1.0,-189.93679863510312,
524,100.575,14.0,6558.025,2643.0,0.9840000000000001,-192.2208272433275,
525,99.234,14.0,6557.906999999999,4389.0,1.051,-197.6111347587352,3.0347438952727
526,97.89299999999999,14.0,6557.688,9767.0,1.0,-207.6151800626821,
527,96.552,14.0,6557.654,9059.0,0.857,-209.168319516253,
528,95.211,14.0,6557.637,1381.0,1.0070000000000001,-209.94488924308,
529,93.87,14.0,6557.523,907.5,1.232,-215.15247446979328,12.83656328452103
530,92.529,14.0,6557.49,886.7,1.278,-216.65993335123204,14.430697724761973
531,91.18799999999999,14.0,6557.521,1057.0,1.012,-215.2438356141405,
532,89.84700000000001,14.0,6557.485,923.9,0.985,-216.88833621205868,
673,101.916,11.0,6558.01,1291.0,0.94,-192.90603582576568,
674,100.575,11.0,6557.948,1321.0,1.023,-195.73823129994884,
675,99.234,11.0,6557.72,2109.0,1.2830000000000001,-206.15340175341686,14.596773118977781
676,97.89299999999999,11.0,6557.6759999999995,4111.0,1.159,-208.16334692868253,9.953213949895504
677,96.552,11.0,6557.646,5502.0,0.943,-209.53376409360044,
678,95.211,11.0,6557.6359999999995,3312.0,1.014,-209.99056981525365,
679,93.87,11.0,6557.694,2449.0,1.071,-207.34109662968189,5.018687484325791
680,92.529,11.0,6557.678000000001,1613.0,1.024,-208.0719857842937,
681,91.18799999999999,11.0,6557.604,911.9,1.022,-211.45234812447734,
682,89.84700000000001,11.0,6557.595,872.9,0.981,-211.86347327395686,
683,88.506,11.0,6557.654,898.8,0.9440000000000001,-209.168319516253,
814,113.985,8.0,6557.844,977.5,1.17,-200.4890108050505,10.4264736859919
815,112.64399999999999,8.0,6557.91,2022.0,0.9740000000000001,-197.4740930422143,
816,111.303,8.0,6557.896,1165.0,1.206,-198.11362105252044,11.870696168848175
823,101.916,8.0,6558.029,1159.0,-0.9009999999999999,-192.03810495463296,
824,100.575,8.0,6557.935,1713.0,0.912,-196.3320787380814,
825,99.234,8.0,6557.8,2802.0,1.131,-202.49895598027456,8.656036020708914
826,97.89299999999999,8.0,6557.840999999999,5694.0,0.9229999999999999,-200.62605252157135,
827,96.552,8.0,6557.718000000001,8689.0,0.894,-206.24476289772258,
828,95.211,8.0,6557.648,4913.0,0.9129999999999999,-209.44240294925322,
829,93.87,8.0,6557.688,1666.0,0.958,-207.6151800626821,
830,92.529,8.0,6557.713000000001,1443.0,0.93,-206.47316575854916,
831,91.18799999999999,8.0,6557.724,1045.0,0.943,-205.97067946476392,
832,89.84700000000001,8.0,6557.759,948.7,0.914,-204.37185943901932,
833,88.506,8.0,6557.7919999999995,960.9,0.905,-202.86440055762205,
963,115.32600000000001,5.0,6557.83,1076.0,1.141,-201.1285388153566,9.136763500459754
964,113.985,5.0,6557.735,2178.0,1.137,-205.46819317097862,8.947067498371922
965,112.64399999999999,5.0,6557.875,4258.0,1.205,-199.07291306795884,11.832402498638858
966,111.303,5.0,6558.014,3426.0,1.275,-192.72331353711274,14.330443921933258
968,108.62100000000001,5.0,6557.672,2440.0,1.651,-208.34606921733547,24.890745359189708
969,107.28,5.0,6557.664000000001,1261.0,1.653,-208.71151379459985,24.940668480620285
971,104.598,5.0,6557.879,1172.0,1.5030000000000001,-198.89019077930595,21.066897877353856
972,103.257,5.0,6558.090999999999,1799.0,1.012,-189.2059094804913,
973,101.916,5.0,6558.019,1964.0,1.038,-192.49491067628617,
974,100.575,5.0,6557.960999999999,1222.0,0.992,-195.14438386185793,
975,99.234,5.0,6557.83,1919.0,1.084,-201.1285388153566,5.977804044294951
976,97.89299999999999,5.0,6557.8369999999995,4407.0,1.084,-200.8087748102243,5.977804044294951
977,96.552,5.0,6557.8240000000005,6350.0,1.003,-201.40262224831525,
978,95.211,5.0,6557.79,5958.0,0.888,-202.95576170192777,
979,93.87,5.0,6557.874,2605.0,0.861,-199.11859364013247,
980,92.529,5.0,6557.871999999999,1984.0,0.8859999999999999,-199.20995478447975,
981,91.18799999999999,5.0,6557.876,1228.0,0.88,-199.02723249578526,
982,89.84700000000001,5.0,6557.876,908.3,0.8959999999999999,-199.02723249578526,
983,88.506,5.0,6557.887,972.6,0.8640000000000001,-198.52474620200002,
1112,116.667,2.0,6557.974,995.2,1.091,-194.55053642368387,6.439406553722604
1113,115.32600000000001,2.0,6557.895,1725.0,1.025,-198.15930162465253,
1114,113.985,2.0,6557.826,3012.0,0.99,-201.3112611040096,
1115,112.64399999999999,2.0,6557.798000000001,4799.0,0.992,-202.59031712458028,
1116,111.303,2.0,6557.701999999999,5331.0,1.078,-206.9756520524175,5.554324565809049
1117,109.962,2.0,6557.734,6340.0,1.0859999999999999,-205.51387374311076,6.112940212756524
1118,108.62100000000001,2.0,6557.794,7384.0,0.9890000000000001,-202.77303941327477,
1119,107.28,2.0,6557.7919999999995,8771.0,1.002,-202.86440055762205,
1120,105.939,2.0,6557.741,9286.0,1.0,-205.19410973797847,
1121,104.598,2.0,6557.839,9957.0,1.061,-200.71741366587707,4.142559582515538
1122,103.257,2.0,6557.982,8162.0,0.995,-194.18509184637793,
1123,101.916,2.0,6558.008000000001,3159.0,1.02,-192.9973969700714,
1124,100.575,2.0,6557.945,3582.0,0.972,-195.87527301646975,
1125,99.234,2.0,6557.876,5535.0,0.888,-199.02723249578526,
1126,97.89299999999999,2.0,6557.936,4898.0,0.848,-196.28639816594932,
1127,96.552,2.0,6557.986,4990.0,-0.831,-194.002369557725,
1128,95.211,2.0,6558.0,3698.0,-0.848,-193.36284154741884,
1129,93.87,2.0,6557.959,1901.0,0.8759999999999999,-195.23574500616365,
1130,92.529,2.0,6557.98,1063.0,-0.8859999999999999,-194.2764529907252,
