,X,Y,Center,Peak,Width,RV,Sig
74,100.575,22.0,6578.25,125.0,0.757,-208.6149097301555,8.027629985085904
75,99.234,22.0,6578.254,351.3,0.779,-208.43275919457028,8.779815464666836
76,97.89299999999999,22.0,6578.224,359.1,0.777,-209.79888821148,8.713259621866168
223,101.916,18.0,6578.432,52.71,1.238,-200.32706036084227,20.577853151038457
224,100.575,18.0,6578.465,98.94,1.012,-198.8243184422126,15.271123635952392
225,99.234,18.0,6578.352,278.8,0.821,-203.97007107262925,10.110693830759626
226,97.89299999999999,18.0,6578.286,464.3,0.7759999999999999,-206.97555490984723,8.679854977187244
227,96.552,18.0,6578.263000000001,301.4,0.7859999999999999,-208.0229204894518,9.010197639207073
372,103.257,15.0,6578.62,130.8,0.9490000000000001,-191.76598518813051,13.674323193569839
373,101.916,15.0,6578.483,206.5,0.9570000000000001,-198.00464103205843,13.88134433861432
374,100.575,15.0,6578.326999999999,479.5,0.872,-205.10851192008852,11.598659805444932
375,99.234,15.0,6578.343000000001,743.9,0.7959999999999999,-204.37990977766486,9.332859416387524
376,97.89299999999999,15.0,6578.263000000001,1487.0,0.764,-208.0229204894518,8.27200795665229
377,96.552,15.0,6578.201,693.4,0.76,-210.84625379112606,8.132986566199541
378,95.211,15.0,6578.209,322.6,0.858,-210.48195271995564,11.201235852607672
521,104.598,14.0,6578.347,108.5,1.249,-204.19775924212104,20.82505424620671
522,103.257,14.0,6578.579000000001,167.7,1.127,-193.63302817788923,18.03428717333022
523,101.916,14.0,6578.685,220.0,0.985,-188.80603898477773,14.59571703126602
524,100.575,14.0,6578.694,414.4,0.804,-188.39620027970068,9.585980445645239
525,99.234,14.0,6578.647,814.0,0.764,-190.5364690728993,8.27200795665229
526,97.89299999999999,14.0,6578.4130000000005,1781.0,0.857,-201.19227540486162,11.172558619976686
527,96.552,14.0,6578.309,2445.0,0.716,-205.92818933020123,6.469043099538673
528,95.211,14.0,6578.342,371.8,0.794,-204.42544741161294,9.268902753998686
529,93.87,14.0,6578.354,192.7,0.889,-203.87899580481587,12.071826167131105
530,92.529,14.0,6578.289000000001,202.9,1.033,-206.83894200812728,15.788409303609951
531,91.18799999999999,14.0,6578.238,237.5,0.934,-209.1613613369111,13.282320986477217
532,89.84700000000001,14.0,6578.196,202.1,0.8440000000000001,-211.0739419606179,10.795976826032321
673,101.916,11.0,6578.585,163.5,0.866,-193.35980237453214,11.429241858097882
674,100.575,11.0,6578.579000000001,197.2,0.885,-193.63302817788923,11.96136364638015
675,99.234,11.0,6578.51,334.8,0.897,-196.77512491682722,12.291234117778464
676,97.89299999999999,11.0,6578.481,567.8,0.882,-198.0957162998717,11.878173335481781
677,96.552,11.0,6578.358,1108.0,0.743,-203.69684526923066,7.522385925150404
678,95.211,11.0,6578.335999999999,868.3,0.7879999999999999,-204.69867321501147,9.075317968533993
