,X,Y,Center,Peak,Width,RV,Sig
53,128.74,19.6,6556.47,2163.0,0.941,-263.2085943395636,
54,127.4,19.6,6556.479,2259.0,0.865,-262.79746919008403,
55,126.05,19.6,6556.460999999999,2027.0,0.9009999999999999,-263.6197194890847,
56,124.71,19.6,6556.549,2403.0,-0.9,-259.59982913859494,
57,123.37,19.6,6556.584,2469.0,0.943,-258.0010091128504,
58,122.03,19.6,6556.548000000001,2715.0,-0.9209999999999999,-259.645509710727,
59,120.69,19.6,6556.604,2379.0,0.946,-257.08739766954403,
60,119.35,19.6,6556.701999999999,1948.0,1.0590000000000002,-252.6107015974842,0.7759920534321826
61,118.01,19.6,6556.798000000001,2089.0,0.963,-248.22536666964697,
62,116.67,19.6,6556.857,1353.0,1.126,-245.53021291198468,7.464319428646111
63,115.33,19.6,6557.049,1521.0,0.888,-236.7595430564349,
64,113.99,19.6,6557.034000000001,1737.0,0.903,-237.44475163887307,
65,112.64,19.6,6557.058000000001,1646.0,0.902,-236.34841790691377,
66,111.3,19.6,6557.054,1727.0,0.99,-236.53114019560826,
67,109.96,19.6,6557.043000000001,1681.0,0.9640000000000001,-237.03362648939355,
68,108.62,19.6,6556.9490000000005,1505.0,1.194,-241.32760027284195,10.72886720973588
69,107.28,19.6,6556.814,1471.0,1.305,-247.49447751503516,14.81682551534631
70,105.94,19.6,6556.954000000001,1666.0,0.946,-241.09919741201537,
71,104.6,19.6,6556.978,1424.0,0.8909999999999999,-240.00286368009762,
72,103.26,19.6,6556.639,882.3,2.302,-255.4885776437995,39.666181522859866
73,101.92,19.6,6556.92,1088.0,1.183,-242.6523368656279,10.259869773892795
74,100.58,19.6,6556.899,2596.0,0.9079999999999999,-243.61162888106628,
75,99.23,19.6,6556.9,4083.0,-0.879,-243.5659483089342,
76,97.89,19.6,6556.871999999999,3084.0,0.924,-244.84500432954644,
77,96.55,19.6,6556.609,2083.0,1.07,-256.85899480871745,3.0690074315691933
78,95.21,19.6,6556.515,1710.0,1.0979999999999999,-261.15296859216585,5.680869652918376
79,93.87,19.6,6556.441,1159.0,1.235,-264.5333309323495,12.353187999042191
80,92.53,19.6,6556.531,884.4,1.202,-260.42207943755403,11.060056233091005
81,91.19,19.6,6556.562,670.9,1.145,-259.0059817004624,8.482955741019955
203,128.74,17.3,6556.477,1605.0,0.9840000000000001,-262.8888303344313,
204,127.4,17.3,6556.484,2291.0,0.871,-262.56906632925745,
205,126.05,17.3,6556.483,3109.0,0.872,-262.6147469014311,
206,124.71,17.3,6556.568,3245.0,-0.9079999999999999,-258.7318982674622,
207,123.37,17.3,6556.6140000000005,3097.0,0.884,-256.6305919478909,
208,122.03,17.3,6556.576,3208.0,-0.873,-258.3664536901563,
209,120.69,17.3,6556.6359999999995,5460.0,0.845,-255.62561936032034,
210,119.35,17.3,6556.766,4392.0,1.14,-249.68714497895377,8.225528764945349
211,118.01,17.3,6556.831999999999,3752.0,1.01,-246.67222721611762,
212,116.67,17.3,6556.875,2648.0,0.934,-244.7079626130256,
213,115.33,17.3,6556.892,2565.0,1.091,-243.93139288624013,5.148161807504761
214,113.99,17.3,6556.955,3296.0,0.9470000000000001,-241.0535168398833,
215,112.64,17.3,6557.019,3432.0,0.889,-238.12996022135286,
216,111.3,17.3,6557.057,3091.0,0.8640000000000001,-236.39409847912896,
217,109.96,17.3,6557.057,2506.0,0.871,-236.39409847912896,
218,108.62,17.3,6556.69,1589.0,1.944,-253.15886846344307,31.640796197103462
219,107.28,17.3,6556.485,3013.0,1.5619999999999998,-262.52338575712537,22.291959590728084
220,105.94,17.3,6556.755,3040.0,1.122,-250.189631272739,7.234003798828015
221,104.6,17.3,6556.946,1820.0,0.978,-241.46464198936286,
222,103.26,17.3,6556.916,962.7,1.446,-242.83505915428083,19.11986315916593
223,101.92,17.3,6556.868,1192.0,1.331,-245.02772661815789,15.66334369041835
224,100.58,17.3,6556.852,2704.0,0.9159999999999999,-245.75861577281125,
225,99.23,17.3,6556.871999999999,5118.0,0.887,-244.84500432954644,
226,97.89,17.3,6556.803000000001,3787.0,0.961,-247.9969638088204,
227,96.55,17.3,6556.621,2312.0,1.078,-256.3108279427586,3.9859922998514303
228,95.21,17.3,6556.571999999999,2302.0,1.022,-258.5491759788508,
229,93.87,17.3,6556.515,1822.0,1.008,-261.15296859216585,
230,92.53,17.3,6556.496999999999,865.0,1.135,-261.9752188911665,7.960963039623009
231,91.19,17.3,6556.555,642.0,1.09,-259.3257457055947,5.067788507490818
353,128.74,15.0,6556.454000000001,1909.0,1.001,-263.9394834941754,
354,127.4,15.0,6556.475,3285.0,0.877,-262.980191478737,
355,126.05,15.0,6556.516,3948.0,-0.852,-261.10728802003376,
356,124.71,15.0,6556.588000000001,3528.0,0.866,-257.81828682415585,
357,123.37,15.0,6556.645,4293.0,0.871,-255.21449421079927,
358,122.03,15.0,6556.607,4394.0,0.867,-256.9503559530647,
359,120.69,15.0,6556.613,6168.0,0.858,-256.6762725200645,
360,119.35,15.0,6556.696,5780.0,0.858,-252.88478503044286,
361,118.01,15.0,6556.816,6978.0,0.8690000000000001,-247.40311637072944,
362,116.67,15.0,6557.021,4404.0,1.01,-238.03859907704714,
363,115.33,15.0,6557.119000000001,1087.0,1.845,-233.5619030049042,29.324400623522646
364,113.99,15.0,6556.969,726.9,2.265,-240.4139888295772,38.85601328651002
368,108.62,15.0,6557.2080000000005,1517.0,1.247,-229.4963320822824,12.798990321392662
369,107.28,15.0,6556.808000000001,1918.0,1.9040000000000001,-247.76856094799382,30.711449278786894
370,105.94,15.0,6556.691,4359.0,1.44,-253.1131878912695,18.94861854244598
371,104.6,15.0,6556.819,2953.0,1.364,-247.26607465420858,16.69796527897813
372,103.26,15.0,6556.918000000001,1454.0,1.367,-242.74369800993355,16.790071332782684
373,101.92,15.0,6556.845,2038.0,1.364,-246.07837977794355,16.69796527897813
374,100.58,15.0,6556.819,4316.0,0.983,-247.26607465420858,
375,99.23,15.0,6556.81,7189.0,0.937,-247.6771998036881,
376,97.89,15.0,6556.682,4396.0,1.124,-253.524313040749,7.349961350336774
377,96.55,15.0,6556.589,2016.0,1.169,-257.77260625202376,9.636824904313533
378,95.21,15.0,6556.67,1800.0,0.9540000000000001,-254.07247990670788,
379,93.87,15.0,6556.6230000000005,1812.0,0.935,-256.2194667984113,
380,92.53,15.0,6556.556,999.2,1.028,-259.28006513346264,
381,91.19,15.0,6556.521,586.4,1.162,-260.8788851592072,9.312651026081113
503,128.74,12.0,6556.486999999999,2183.0,0.971,-262.43202461281965,
504,127.4,12.0,6556.481,2775.0,0.9390000000000001,-262.70610804577836,
505,126.05,12.0,6556.456999999999,2405.0,0.975,-263.8024417777376,
506,124.71,12.0,6556.573,2402.0,1.042,-258.50349540663564,
507,123.37,12.0,6556.638000000001,3681.0,0.888,-255.53425821593157,
508,122.03,12.0,6556.613,5528.0,0.9109999999999999,-256.6762725200645,
509,120.69,12.0,6556.659000000001,8520.0,0.861,-254.57496620049312,
510,119.35,12.0,6556.769,10700.0,0.8190000000000001,-249.55010326243286,
511,118.01,12.0,6556.859,7000.0,0.889,-245.43885176763746,
512,116.67,12.0,6556.422,1357.0,2.051,-265.40126180348216,34.08913921081
513,115.33,12.0,6556.49,401.4,3.215,-262.2949828962988,58.90427016744548
514,113.99,12.0,6557.116,503.9,3.008,-233.6989447214251,54.63290227364434
515,112.64,12.0,6556.896,628.8,2.609,-243.74867059758714,46.271017286910066
518,108.62,12.0,6556.9619999999995,906.6,2.173,-240.733752834751,36.824950361446724
519,107.28,12.0,6557.13,2388.0,1.214,-233.05941671111896,11.542944859723981
520,105.94,12.0,6556.84,3899.0,1.538,-246.30678263877013,21.6546023298016
521,104.6,12.0,6556.529,4669.0,1.286,-260.51344058185975,14.177619098121358
522,103.26,12.0,6556.536999999999,3435.0,1.256,-260.14799600459537,13.126118293322289
523,101.92,12.0,6556.68,4958.0,1.0979999999999999,-253.61567418505467,5.680869652918376
524,100.58,12.0,6556.769,7398.0,0.975,-249.55010326243286,
525,99.23,12.0,6556.722,6459.0,1.1059999999999999,-251.69709015417789,6.237809578143647
526,97.89,12.0,6556.552,3926.0,1.214,-259.4627874221156,11.542944859723981
527,96.55,12.0,6556.689,1702.0,1.099,-253.20454903557516,5.75320721301702
528,95.21,12.0,6556.701999999999,1197.0,1.053,-252.6107015974842,
529,93.87,12.0,6556.679,1084.0,1.011,-253.6613547572283,
530,92.53,12.0,6556.6669999999995,701.9,1.198,-254.20952162322874,10.89544373390883
531,91.19,12.0,6556.66,550.0,1.306,-254.52928562836104,14.849959319182329
653,128.74,10.0,6556.501,1876.0,0.983,-261.792496602472,
654,127.4,10.0,6556.486,1527.0,1.065,-262.47770518495173,2.323778694447974
655,126.05,10.0,6556.434,1574.0,1.206,-264.8530949374818,11.22279113078524
656,124.71,10.0,6556.656999999999,2702.0,0.9259999999999999,-254.66632734488195,
