,X,Y,Center,Peak,Width,RV,Sig
57,133.0272,19.6,5002.349,73.47,1.042,-246.54562554803738,18.31062844016342
58,131.5968,19.6,5002.428,84.22,1.077,-241.81543236245005,19.576762557791707
59,130.1664,19.6,5002.481,81.87,0.8959999999999999,-238.64201161768483,12.339613942582021
60,128.736,19.6,5002.438,94.54,0.778,-241.2166737313479,4.949826893074128
61,127.3056,19.6,5002.535,69.97,0.98,-235.40871500979847,15.943420919158266
62,125.8752,19.6,5002.58,68.94,1.023,-232.7143011698932,17.60402227844452
63,124.4448,19.6,5002.588,53.3,1.1909999999999998,-232.2352942650332,23.46237722172447
64,123.0144,19.6,5002.751,46.55,1.126,-222.47552857825306,21.285455594373722
65,121.584,19.6,5002.759,52.58,0.852,-221.9965216733931,10.125155415723034
66,120.1536,19.6,5002.7609999999995,53.45,0.8140000000000001,-221.87676994720536,7.846696675969067
67,118.7232,19.6,5002.568,42.47,1.865,-233.4328115271831,43.390576474213084
68,117.2928,19.6,5002.573,46.35,1.768,-233.133432211632,40.67931078892746
69,115.8624,19.6,5002.544,60.59,1.5219999999999998,-234.8698322418174,33.63508148130005
70,114.432,19.6,5002.495,63.03,1.37,-237.8037495341527,29.103131108206206
71,113.0016,19.6,5002.635,53.9,1.2409999999999999,-229.4211286988857,25.082563718566504
72,111.5712,19.6,5002.617,54.18,0.91,-230.4988942348478,12.985375110635236
74,108.7104,19.6,5002.605,51.16,1.3419999999999999,-231.21740459219222,28.24670290299673
75,107.28,19.6,5002.644,117.4,0.927,-228.88224593090462,13.741147516869379
76,105.8496,19.6,5002.609,131.5,0.976,-230.9779011397078,15.783917273340263
77,104.4192,19.6,5002.529,72.36,1.0270000000000001,-235.7679701884162,17.75402563694331
78,102.9888,19.6,5002.409000000001,52.97,1.089,-242.95307376147883,20.001536612200976
204,137.3184,17.3,5002.376,48.44,0.83,-244.9289772440942,8.864777912534365
205,135.888,17.3,5002.419,55.72,1.082,-242.35431513043113,19.75428877606475
207,133.0272,17.3,5002.48,99.66,-0.9790000000000001,-238.7018874808059,15.903633976323743
208,131.5968,17.3,5002.659000000001,128.6,1.268,-227.9841079842514,25.941312993490588
209,130.1664,17.3,5002.509,111.9,0.8909999999999999,-236.96548745062051,12.103174889443865
211,127.3056,17.3,5002.559,195.4,0.914,-233.97169429516413,13.165829948468584
212,125.8752,17.3,5002.589,147.9,0.9470000000000001,-232.1754184019121,14.59662633836777
213,124.4448,17.3,5002.673,115.5,0.95,-227.14584590077374,14.722176640157684
214,123.0144,17.3,5002.737,81.31,1.054,-223.3137906617852,18.749603455119594
215,121.584,17.3,5002.713,87.55,1.095,-224.75081137641953,20.212304159105376
216,120.1536,17.3,5002.787,94.19,1.177,-220.31999750632883,23.000873129404052
217,118.7232,17.3,5002.794,88.73,1.003,-219.90086646459,16.843186710161714
218,117.2928,17.3,5002.82,79.22,0.94,-218.3440940237679,14.3009724510832
219,115.8624,17.3,5002.656,62.02,1.565,-228.16373557361473,34.888058880387426
220,114.432,17.3,5002.348,124.6,1.369,-246.60550141115846,29.07267846409725
221,113.0016,17.3,5002.501,145.9,1.183,-237.44449435548046,23.1991156421392
222,111.5712,17.3,5002.6359999999995,71.77,1.168,-229.36125283581904,22.702186700996116
223,110.1408,17.3,5002.333,32.22,2.3569999999999998,-247.50363935781172,56.800592542626966
224,108.7104,17.3,5002.562,38.36,1.895,-233.7920667058553,44.223320474655004
225,107.28,17.3,5002.661,98.55,1.101,-227.86435625806362,20.422036680265812
226,105.8496,17.3,5002.669,166.6,0.993,-227.38534935320368,16.455474774445317
227,104.4192,17.3,5002.566,107.2,0.958,-233.55256325342532,15.053749133150149
228,102.9888,17.3,5002.458,59.17,1.075,-240.01915646919798,19.505531790626225
229,101.5584,17.3,5002.420999999999,61.34,0.802,-242.23456340424332,7.001981661720035
230,100.12799999999999,17.3,5002.391,35.91,-0.807,-244.0308392974954,7.36419159731451
354,137.3184,15.0,5002.366,53.01,0.89,-245.52773587519636,12.055491581980874
355,135.888,15.0,5002.42,80.55,1.127,-242.29443926731,21.3196594338822
357,133.0272,15.0,5002.488,147.9,0.941,-238.2228805758915,14.343446551369956
359,130.1664,15.0,5002.588,161.8,0.9590000000000001,-232.2352942650332,15.094876414819225
360,128.736,15.0,5002.558,200.1,0.867,-234.03157015828526,10.917724924776786
361,127.3056,15.0,5002.602,218.3,0.912,-231.39703218150106,13.075814898727499
