,Y,X,RV,I,Sig
217,2,71,-5.157500000000001,3.0875,12.0
283,3,69,-2.6350000000000002,3.005,17.2275
536,7,69,-7.09,2.6925,20.314999999999998
537,7,73,-9.264999999999999,2.54,21.232499999999998
538,7,74,-7.9775,2.4275,19.7075
601,8,61,0.5125,2.57,27.35
602,8,62,-3.6449999999999996,2.8324999999999996,27.0325
603,8,66,-3.8425000000000002,2.7024999999999997,22.075000000000003
604,8,68,-5.1375,2.7449999999999997,23.895
667,9,61,2.135,2.97,26.37
668,9,62,-2.865,3.275,27.0475
669,9,63,-6.7,3.5575,23.4725
670,9,64,-6.75,3.4,23.529999999999998
671,9,65,-6.012499999999999,3.24,23.615000000000002
672,9,66,-3.9375000000000004,3.35,21.2375
673,9,67,-3.7825,3.3550000000000004,19.545
674,9,68,-5.324999999999999,3.2925,20.505
675,9,70,-9.06,3.6175,17.432499999999997
737,10,62,-5.475,3.3899999999999997,25.785
738,10,63,-7.754999999999999,3.9650000000000003,22.1075
739,10,64,-7.7299999999999995,4.0725,21.125
740,10,65,-6.959999999999999,3.8924999999999996,21.27
741,10,66,-3.5525,3.785,20.875
742,10,67,-2.715,3.6950000000000003,19.317500000000003
743,10,68,-3.475,3.74,18.805
744,10,69,-4.265,4.0024999999999995,18.6625
745,10,70,-4.725,4.045,20.165
746,10,71,-3.825,4.0175,20.6925
747,10,72,-4.08,3.6799999999999997,19.102500000000003
748,10,74,-2.27,3.285,14.2875
807,11,58,-1.9125,2.14,28.485
808,11,59,-2.9074999999999998,2.2775,28.68
809,11,60,-2.0025,2.38,27.0625
810,11,61,-2.7375,2.66,26.105
811,11,62,-6.93,3.2650000000000006,23.7
812,11,63,-7.96,4.0825000000000005,21.067500000000003
813,11,64,-7.927499999999998,4.5975,18.762500000000003
814,11,65,-7.9875,4.23,19.957500000000003
815,11,66,-4.84,3.755,21.282500000000002
816,11,67,-4.092499999999999,3.7275,20.445
817,11,68,-3.7575,4.0225,19.057499999999997
818,11,69,-2.7424999999999997,4.225,19.5125
819,11,70,-1.1875,4.63,19.8525
820,11,71,-0.9375000000000001,4.567500000000001,20.96
821,11,72,-1.7575,4.172499999999999,19.4025
822,11,73,-1.02,3.8850000000000002,16.0825
823,11,74,-1.365,3.615,13.41
879,12,54,9.16,2.5700000000000003,18.2225
880,12,63,-7.4975000000000005,3.7675,21.35
881,12,64,-7.0,4.367500000000001,18.23
882,12,65,-7.0275,4.1325,18.89
883,12,66,-4.9375,3.6475,21.0
884,12,67,-5.0625,3.66,21.592499999999998
885,12,68,-4.205,4.1075,20.302500000000002
886,12,69,-2.9050000000000002,4.4475,19.4375
887,12,70,-1.11,4.9075,19.0925
888,12,71,-1.0325,4.795,19.314999999999998
889,12,72,-1.4100000000000001,4.495,18.045
890,12,73,-0.9025,4.09,16.2875
891,12,74,-0.8075,3.5425,15.85
948,13,55,10.0075,2.54,19.7725
949,13,64,-5.65,4.19,17.7875
950,13,65,-5.550000000000001,4.1525,17.7025
951,13,66,-5.5025,3.8149999999999995,19.724999999999998
952,13,67,-6.1674999999999995,3.8725,20.4825
953,13,68,-4.945,4.4175,20.13
954,13,69,-4.0975,4.76,18.822499999999998
955,13,70,-3.1775,5.102499999999999,17.107499999999998
956,13,71,-3.1950000000000003,4.9975000000000005,16.259999999999998
957,13,72,-2.2075000000000005,4.465,16.947499999999998
958,13,73,-0.835,3.985,16.2575
959,13,74,-0.3025,3.46,15.927499999999998
1016,14,64,-5.047499999999999,3.3825000000000003,19.8275
1017,14,65,-3.975,3.585,20.42
1018,14,66,-5.9,3.6375,21.57
1019,14,67,-6.960000000000001,4.1125,19.185
1020,14,68,-5.88,4.6850000000000005,18.29
1021,14,69,-4.41,4.8275,18.212500000000002
1022,14,70,-3.6075,4.8025,16.8575
1023,14,71,-3.8125,4.6899999999999995,15.8025
1024,14,72,-3.28,4.112500000000001,16.85
1080,15,65,-5.17,3.0525,22.842499999999998
1081,15,66,-6.3375,3.3549999999999995,21.8825
1082,15,67,-7.539999999999999,4.085,18.4275
1083,15,68,-6.5375,4.545,17.105
1084,15,69,-4.9975000000000005,4.5875,16.67
1085,15,70,-3.3950000000000005,4.359999999999999,16.32
1086,15,72,-3.1574999999999998,3.3674999999999997,18.1725
1087,15,73,-3.6225,2.7075,19.445
1136,16,57,13.515,2.6925,19.0425
1137,16,64,-7.715,2.4175000000000004,24.38
